title,artist,album,isrc,platform,trackId,duration,addedDate,addedBy,url
"In My Feelings (Bachata)","Robby Ruiz","In My Feelings (Bachata)",ushm81800525,spotify,0KHk4ujOvoi1O6Yz1Mya3K,236s,"2024-09-14 21:03",1147321858,https://open.spotify.com/track/0KHk4ujOvoi1O6Yz1Mya3K
"Caí Contigo",XDM,"Esa Noche",PESM21504004,spotify,1wB9J4Y5VXMYJzARmSMppD,214s,"2024-09-14 21:03",1147321858,https://open.spotify.com/track/1wB9J4Y5VXMYJzARmSMppD
"La Carta",Lirow,"La Carta",TCACP1640092,spotify,7Eu0KOxYN5jmjG4saoJDiS,205s,"2024-09-14 21:03",1147321858,https://open.spotify.com/track/7Eu0KOxYN5jmjG4saoJDiS
"Algo Estúpido","Henry Santos","Shut Up & Listen",QM4TX1812126,spotify,0Bs4vpVtfHLFBcxTJAKXWa,184s,"2024-09-14 21:03",1147321858,https://open.spotify.com/track/0Bs4vpVtfHLFBcxTJAKXWa
"El Cuchillo",Optimo,"A World Tour",USSD10804266,spotify,51sf8K5TcoLvuMF24c84Lv,222s,"2024-09-14 21:03",1147321858,https://open.spotify.com/track/51sf8K5TcoLvuMF24c84Lv
"4 Segundos",Johandy,"4 Segundos",US7VG1821591,spotify,5xCwIOkrONlXscYFuEtU59,198s,"2024-09-14 21:03",1147321858,https://open.spotify.com/track/5xCwIOkrONlXscYFuEtU59
"Procuro Olvidarte - Bachata Radio Edit","El Chacal, Urban Latin DJ's, DJ Conds","Los Exitos (Lo Nuevo y Lo Mejor)",CH9181611635,spotify,44w3F4MD1ujL2WEdQ4cHA0,301s,"2024-09-14 21:03",1147321858,https://open.spotify.com/track/44w3F4MD1ujL2WEdQ4cHA0
"Acércate Lento","Los Rebujitos","Acércate Lento",ES6671703195,spotify,6jSluujDsoMwnoIy0A1apd,234s,"2024-09-14 21:03",1147321858,https://open.spotify.com/track/6jSluujDsoMwnoIy0A1apd
"Bailame - Bachata","Bachata Mix","Bachata Tropical",QZ22B1944413,spotify,5YITqKWI1RKp2OHWLYXJdW,282s,"2024-09-14 21:03",1147321858,https://open.spotify.com/track/5YITqKWI1RKp2OHWLYXJdW
"Mi Venganza",Circharles,"Mi Venganza",TCADU1881966,spotify,1Cf5TMeXMJgPrZtOgkLVa5,197s,"2024-09-14 21:03",1147321858,https://open.spotify.com/track/1Cf5TMeXMJgPrZtOgkLVa5
"Bachata En Kingston","Vicente Garcia","A la Mar",COSO11600153,spotify,3EjW1KrOJZr39xiBiI7tMg,239s,"2024-09-14 21:03",1147321858,https://open.spotify.com/track/3EjW1KrOJZr39xiBiI7tMg
"Donde Estan Esos Amigos","El Chaval de la Bachata","Edición De Lujo",QM4TW1855254,spotify,2tTd0gQzJBkAMfFPRKregm,271s,"2024-09-14 21:03",1147321858,https://open.spotify.com/track/2tTd0gQzJBkAMfFPRKregm
"Unión Eterna (Bachata Version)","Allen CM.","Unión Eterna",ushm81853711,spotify,7fPp9saWeePT59hRo9lbak,229s,"2024-09-14 21:03",1147321858,https://open.spotify.com/track/7fPp9saWeePT59hRo9lbak
"Besos Toxicos",Circharles,"Besos Toxicos",TCADB1712551,spotify,4NPyrx786RZhwuYOblQHxt,251s,"2024-09-14 21:03",1147321858,https://open.spotify.com/track/4NPyrx786RZhwuYOblQHxt
Elena,Circharles,"Alter Ego",TCACY1720780,spotify,4fhpSiIhGg3qfvCuUtw5fX,241s,"2024-09-14 21:03",1147321858,https://open.spotify.com/track/4fhpSiIhGg3qfvCuUtw5fX
"Enamorado de Ti",Xtasis,"Siente el Xtasis",uscgh1726315,spotify,0YEnhfQFhplqS7TSv7UFxb,209s,"2024-09-14 21:03",1147321858,https://open.spotify.com/track/0YEnhfQFhplqS7TSv7UFxb
"Mía Mía",Chelion,Amandote,ITJ851800050,spotify,5FRMcCQkIYeVxfHNElfvxW,227s,"2024-09-14 21:03",1147321858,https://open.spotify.com/track/5FRMcCQkIYeVxfHNElfvxW
"Entre tu boca y la mía - Versión bachata","Alex Ubago","Entre tu boca y la mía EP (feat. Paty Cantú)",ES5151701536,spotify,5xkjqjARbIBBljwtM5MTsb,227s,"2024-09-14 21:03",1147321858,https://open.spotify.com/track/5xkjqjARbIBBljwtM5MTsb
"Recuerdo Tus Ojos","Kiko Rodriguez","Lo Mejor De Lo Mejor",USA371016516,spotify,61QTEfBY1Ml3lwFRnFw867,357s,"2024-09-14 21:03",1147321858,https://open.spotify.com/track/61QTEfBY1Ml3lwFRnFw867
"Medicina de Amor","Raulin Rodriguez","Medicina de Amor",QM7281811323,spotify,2nTgr8A2F6dpxsuGsf6KSk,365s,"2024-09-14 21:03",1147321858,https://open.spotify.com/track/2nTgr8A2F6dpxsuGsf6KSk
"Antes De Ti",Habito,"Antes De Ti",TCADR1868205,spotify,1SjF4DxRZ66xt4aKrX6z7p,232s,"2024-09-14 21:03",1147321858,https://open.spotify.com/track/1SjF4DxRZ66xt4aKrX6z7p
"El Pobre (Remix) [feat. Luis Vargas]","Chiko Swagg, Luis Vargas","El Pobre (Remix) [feat. Luis Vargas]",USASN1600822,spotify,10eKbJjkaBhN5qRFBR8PVD,236s,"2024-09-14 21:03",1147321858,https://open.spotify.com/track/10eKbJjkaBhN5qRFBR8PVD
"Loca de Atar - Bachata Version","José Montoro","Loca de Atar (Bachata Version)",ES6461500590,spotify,3Y4smz01nusN04i6k9o8CK,211s,"2024-09-14 21:03",1147321858,https://open.spotify.com/track/3Y4smz01nusN04i6k9o8CK
"Otra Copa",Lirow,"Otra Copa",TCADQ1822850,spotify,61kibB09MihXsdmvpLJj5Z,180s,"2024-09-14 21:03",1147321858,https://open.spotify.com/track/61kibB09MihXsdmvpLJj5Z
"Tu Me Fascinas",Opalo,"Tiempo De Relevo",USALH0701588,spotify,3xHJQUYjUFpY5HXWbFA2jl,222s,"2024-09-14 21:03",1147321858,https://open.spotify.com/track/3xHJQUYjUFpY5HXWbFA2jl
"La Copa Rota","Daury Blue","La Copa Rota",USBMS1600019,spotify,3I59VTaR3kiw8s6hcAmXvo,217s,"2024-09-14 21:03",1147321858,https://open.spotify.com/track/3I59VTaR3kiw8s6hcAmXvo
"Ay Lero Lero","Andre Veloz","Ay Lero Lero",QZARB1817127,spotify,2mRoJauUvaDStDWRGWCGbt,216s,"2024-09-14 21:03",1147321858,https://open.spotify.com/track/2mRoJauUvaDStDWRGWCGbt
"La Lampara Apaga","Andy Santiago El Relevo","Grandes Éxitos",TCADF1728266,spotify,329mkHwuS1A4aCGFWtAGXH,259s,"2024-09-14 21:03",1147321858,https://open.spotify.com/track/329mkHwuS1A4aCGFWtAGXH
"Besos Sin Usar","Marco Puma, Daniel Santacruz",Lentamente,ITDO81800474,spotify,7eEHPCKqijTbDQSvCQcUKD,207s,"2024-09-14 21:03",1147321858,https://open.spotify.com/track/7eEHPCKqijTbDQSvCQcUKD
"Casi Casi","Toby Love","La Voz de La Juventud",USSD11000452,spotify,2EbRg8JJhs2A3GJ62Cat9Y,222s,"2024-09-14 21:03",1147321858,https://open.spotify.com/track/2EbRg8JJhs2A3GJ62Cat9Y
ileso,"Romeo Santos, Teodoro Reyes",Utopia,USSD11900084,spotify,2zHgz7X52WqdckhjMJj6mt,218s,"2024-09-14 21:03",1147321858,https://open.spotify.com/track/2zHgz7X52WqdckhjMJj6mt
"Me Quedo","Romeo Santos, Zacarias Ferreira",Utopia,USSD11900086,spotify,301E9bwin8Gh2PCp0doIDz,236s,"2024-09-14 21:03",1147321858,https://open.spotify.com/track/301E9bwin8Gh2PCp0doIDz
"Vuelve a Mi","Daniel Simo","Vuelve a Mi",TCACW1791503,spotify,0hdVPt40VPt22vnpfRa6kX,222s,"2024-09-14 21:03",1147321858,https://open.spotify.com/track/0hdVPt40VPt22vnpfRa6kX
"Fosil De Amor","Daniel Simo","Fosil De Amor",QM24S1808720,spotify,5DmdJ18tk89s6EMYV6RZDr,189s,"2024-09-14 21:03",1147321858,https://open.spotify.com/track/5DmdJ18tk89s6EMYV6RZDr
"Provocando el Amor","Daniel Simo","Provocando el Amor",QZDA71895005,spotify,7gmKfNoyAbgKzx34TDrhF8,180s,"2024-09-14 21:03",1147321858,https://open.spotify.com/track/7gmKfNoyAbgKzx34TDrhF8
"Me Borre","Daniel Simo","Me Borre",QM24S1905401,spotify,26sM6AfMwWRfsioVEBbROs,178s,"2024-09-14 21:03",1147321858,https://open.spotify.com/track/26sM6AfMwWRfsioVEBbROs
